gw_site_id	county_code	well_log_nbr	gw_logid	well_tag_nbr	other_identity_id	other_identity_name	other_identity_description	download_date
215	KLAM	2151	KLAM0002151		'422521121051901'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
216	KLAM	2155	KLAM0002155		'422536121050401'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
15169	KLAM	2187	KLAM0002187		'422221122120201'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
15586	KLAM	2199	KLAM0002199		'423600121515401'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
9420	KLAM	2259	KLAM0002259		'37S/10E-8ccc'	OWRD GWR 021	Leonard, A.R., and Harris, A.B., 1974, Ground water in selected areas in the Klamath Basin, Oregon: State of Oregon, Ground Water Report No. 21.	10/22/2024
9420	KLAM	2259	KLAM0002259		'422133121403701'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
9421	KLAM	2260	KLAM0002260		'422205121400401'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
9422	KLAM	2262	KLAM0002262		'422152121403101'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
9423	KLAM	2263	KLAM0002263		'37S/10E-9dcd'	OWRD GWR 021	Leonard, A.R., and Harris, A.B., 1974, Ground water in selected areas in the Klamath Basin, Oregon: State of Oregon, Ground Water Report No. 21.	10/22/2024
9423	KLAM	2263	KLAM0002263		'422140121384101'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
6387	KLAM	2269	KLAM0002269		'37S/10E-18aca'	OWRD GWR 021	Leonard, A.R., and Harris, A.B., 1974, Ground water in selected areas in the Klamath Basin, Oregon: State of Oregon, Ground Water Report No. 21.	10/22/2024
6387	KLAM	2269	KLAM0002269		'422122121410201'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
9425	KLAM	2277	KLAM0002277		'422031121400001'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
7532	KLAM	2286	KLAM0002286		'KLAM0002288'	Observation predecessor	gw_logid for the well that this well replaced for observation	10/22/2024
6907	KLAM	2287	KLAM0002287		'421920121400002'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
